Symbol,0,1,2,3,4,5
MPC,0.118552053,0.827357323,1.48E-17,0.002805046,0.051285578,0
FIS,0.24608219,0.70451109,4.74E-15,0.006013463,0.043393257,0
ORLY,0.087749276,0.896478698,2.26E-13,0.003584577,0.01218745,0
EQT,0.244362349,0.418979587,1.30E-22,0.001134226,0.335523839,0
EG,0.091004591,0.891249188,2.15E-13,0.00503862,0.012707601,0
TROW,0.102726069,0.871377259,4.35E-15,0.003335491,0.022561181,0
FE,0.078909738,0.899582207,4.12E-15,0.003123896,0.018384158,0
MAS,0.02818517,0.901262101,2.75E-23,0.000263136,0.070289592,0
TMUS,0.570017636,0.390668001,4.27E-12,0.010651781,0.028662581,0
WYNN,0.208890022,0.782644481,2.89E-09,0.002117103,0.006348392,0
CVX,0.958165287,8.94E-08,2.28E-11,0.041545625,0.000288998,0
EXPE,0.855291901,0.045694258,2.10E-16,0.015098227,0.083915614,0
LIN,0.241686749,0.732054495,1.12E-12,0.005401334,0.020857423,0
NDSN,0.030906226,0.90803435,2.74E-23,0.000853388,0.060206037,0
RF,0.633585946,0.00218129,6.67E-25,0.000922298,0.363310466,0
ZBRA,0.753837005,0.069075515,1.32E-18,0.009102612,0.167984868,0
CE,0.008992596,0.853866243,5.38E-30,4.84E-06,0.137136318,0
SWK,0.173110253,0.812789016,2.60E-11,0.003339079,0.010761651,0
WBD,0.621175447,1.18E-18,1.40E-15,0.378824035,5.18E-07,0
AIZ,0.080060595,0.887016683,1.82E-16,0.007186575,0.025736148,0
MLM,0.088553563,0.895965944,2.98E-13,0.003616095,0.011864398,0
ANET,0.973540485,0.000153467,1.08E-11,0.022964517,0.003341531,0
PH,0.097488792,0.880729724,1.55E-14,0.003326557,0.018454926,0
OKE,0.0602628,0.822930372,1.28E-22,0.000464023,0.116342805,0
CDNS,0.027647865,0.828824228,4.82E-26,6.87E-05,0.143459256,0
DLR,0.087160146,0.810071066,5.93E-21,0.001024262,0.101744526,0
F,1.11E-06,1.36E-70,2.61E-22,0.999998888,2.18E-26,0
TDY,0.022565272,0.926680863,4.18E-23,0.000393308,0.050360557,0
KHC,0.02914038,0.611129964,1.42E-29,9.68E-06,0.359719976,0
DOV,0.019983121,0.922701908,2.92E-24,0.000292875,0.057022095,0
JCI,0.264463495,0.723925498,1.05E-09,0.003035481,0.008575525,0
MCK,0.07441322,0.906103917,9.59E-15,0.003704279,0.015778584,0
SJM,0.020990139,0.926111471,1.65E-23,0.000312846,0.052585545,0
LNT,0.07636125,0.901531453,5.35E-15,0.004930534,0.017176763,0
FRT,0.072122086,0.901156566,5.14E-16,0.005333331,0.021388017,0
EA,0.088690539,0.893057523,4.67E-14,0.003328389,0.014923549,0
NCLH,0.942005146,1.84E-09,1.66E-15,0.057577241,0.000417612,0
AEE,0.168354197,0.804595041,0.02650638,1.14E-05,0.000532997,0
TYL,0.014432403,0.911288106,5.35E-26,6.62E-05,0.074213331,0
WHR,0.19950488,0.551230375,6.59E-22,0.001279749,0.247984996,0
GILD,0.191253565,0.607068042,3.48E-21,0.001590162,0.200088231,0
LHX,0.076619615,0.874006304,1.44E-18,0.001806779,0.047567302,0
FCX,0.895525946,0.000720254,1.53E-20,0.00705713,0.09669667,0
MOS,0.055755755,0.258260462,1.65E-30,7.61E-06,0.685976174,0
CMI,0.040067688,0.924084263,1.58E-19,0.001324487,0.034523561,0
REGN,0.006472294,0.877267227,1.04E-30,3.00E-06,0.116257481,0
AMT,0.309520851,0.495862366,9.35E-20,0.00343473,0.191182053,0
LUV,0.720860449,0.141234053,4.00E-17,0.011683345,0.126222153,0
SBUX,0.121351652,0.518519147,6.86E-25,0.000270754,0.359858447,0
NOW,0.545817438,0.365647254,2.16E-15,0.011305993,0.077229315,0
MRO,0.954580719,0.001858963,5.30E-15,0.021035932,0.022524386,0
MDLZ,0.250778042,0.441544063,3.70E-22,0.00136986,0.306308036,0
