Symbol,Volume,Market Cap,P/E Ratio,vec0,vec1,vec2,vec3,vec4,Volatility
MPWR,0.240202599,0.832992897,0.018683815,0.314248115,0.949094057,2.134102106,-1.03538835,-0.243526503,0.4158
PSA,0.093959734,0.85480115,0.043519883,0.222520337,0.822608411,1.958194613,-0.935058296,-0.18321766,0.2164
TFC,0.15992611,0.85201874,0.129934214,0.294477761,0.858083904,1.975815415,-0.933714807,-0.097075365,0.3578
HIG,0.100738745,0.830451493,0.099397591,0.286855638,0.826122165,1.910849929,-0.893966496,-0.169979736,0.1905
PCAR,0.088148443,0.855631427,0.09042615,0.299175978,0.912871361,2.06954813,-0.947763443,-0.227259263,0.2127
CPT,0.150457285,0.801281583,0.022872098,0.170770898,0.685936689,1.602913499,-0.736003041,-0.160713494,0.208
WHR,0.271747206,0.786119238,0,0.270052761,0.866202533,1.967252254,-0.877809346,-0.151553631,0.3818
HLT,0.133967229,0.85150455,0.031929133,0.241009042,0.7988801,1.835991263,-0.855246484,-0.1852047,0.2148
MTB,0.118257821,0.826852161,0.145885709,0.303816885,0.881714225,2.004570723,-0.967874348,-0.142512426,0.2807
SPGI,0.072472922,0.890307658,0.019902687,0.246165171,0.832210064,1.754165173,-0.924582601,-0.105075255,0.2213
BKNG,0.15244148,0.885077637,0.047368841,0.274978131,0.782423079,1.779517651,-0.815690756,-0.136896119,0.2832
DTE,0.14083441,0.82773753,0.061294904,0.239075735,0.813906252,1.847038031,-0.895673513,-0.110868014,0.1987
MKC,0.165457629,0.822542638,0.036753445,0.084019676,0.387374163,0.825208306,-0.355679274,-0.115230024,0.2563
OXY,0.216040701,0.862712801,0.094358138,0.265194625,0.869557619,1.971330285,-0.925818086,-0.184878543,0.2806
AVB,0.095083957,0.833841554,0.03852299,0.181289166,0.716393113,1.58232379,-0.755618274,-0.17313683,0.1855
EXPD,0.15820277,0.82131507,0.058475401,0.227726936,0.79522872,1.824237585,-0.827565372,-0.207075253,0.1903
O,0.185221516,0.848473208,0.025976563,0.213815838,0.794537127,1.873667717,-0.901137054,-0.152770251,0.1946
CTVA,0.115234079,0.846633123,0.031879884,0.212268591,0.794378161,1.734732389,-0.854893923,-0.173240751,0.2178
MA,0.05306542,0.928199286,0.029638183,0.204423621,0.561618984,1.341066718,-0.631354511,-0.089292839,0.172
XOM,0.095914325,0.932826518,0.096279027,0.199105635,0.724612951,1.696917534,-0.785734415,-0.11370644,0.2478
ROST,0.140266915,0.852649128,0.038602488,0.252796412,0.790065944,1.742415786,-0.885579407,-0.159871414,0.2004
MU,0.246551359,0.875272923,0,0.222715259,0.665268302,1.580906034,-0.73895514,-0.122106254,0.298
NOC,0.113738794,0.870776205,0.06560545,0.25367865,0.858089268,1.928027153,-0.901731491,-0.13243334,0.2638
MCK,0.115047295,0.866333022,0.054681224,0.286650419,0.742110193,1.707397342,-0.774172544,-0.075481668,0.1856
CE,0.199457828,0.812701634,0.095855588,0.314977169,0.961959898,2.170683384,-1.023292661,-0.165490925,0.2649
NCLH,0.632439709,0.783461011,0,0.187467918,0.779889524,1.726691723,-0.831358552,-0.124576233,0.4396
FDX,0.152083768,0.866567254,0.066471042,0.234761655,0.679573357,1.602616668,-0.748741865,-0.105844207,0.2185
FICO,0.147989648,0.832566236,0.017662134,0.297795266,0.880800307,1.937970042,-0.907198668,-0.156037942,0.2687
ABT,0.063370596,0.900675609,0.030926748,0.278115869,0.829195917,1.947162628,-0.912030518,-0.145768434,0.2055
MET,0.102022044,0.854785996,0,0.31092003,0.891836643,2.042348385,-1.016590834,-0.147612676,0.212
ALL,0.13604513,0.845687032,0,0.274253875,0.893915236,2.037516594,-0.954044342,-0.206485882,0.3027
REGN,0.084534798,0.879532026,0.042513885,0.336507052,0.989952326,2.187141418,-1.011082292,-0.199539483,0.1877
ADBE,0.121030793,0.917430942,0.019698962,0.290675849,0.745235085,1.714322329,-0.74253583,-0.100130334,0.2829
FTV,0.117586198,0.832312027,0.035321099,0.094443314,0.342069745,0.796211183,-0.269106388,-0.087337226,0.2365
CZR,0.268287435,0.801396696,0.07395644,0.280569553,0.714538574,1.628789186,-0.774296701,-0.16731225,0.3981
VFC,0.46362807,0.785526315,0,0.26724878,0.922042489,2.003233194,-0.949796379,-0.149882838,0.4829
COF,0.121667255,0.85146042,0.126475063,0.226949334,0.832238972,1.944177032,-0.934816718,-0.134693071,0.2888
VMC,0.129755923,0.838477453,0.030034066,0.185486212,0.699983478,1.610640407,-0.724430978,-0.164833784,0.229
TTWO,0.158942394,0.834011507,0,0.299602807,0.967599988,2.078366518,-1.019487619,-0.151493415,0.2317
GWW,0.10309614,0.85020431,0.046221603,0.255546808,0.778438032,1.738198161,-0.786207914,-0.125371486,0.2103
ADI,0.137490805,0.877241028,0.043691909,0.262601852,0.852362216,1.921054363,-0.915952146,-0.142190114,0.2343
CCL,0.506948582,0.820009826,0,0.244212732,0.734175265,1.599826694,-0.762614369,-0.125173405,0.3778
K,0.172531153,0.823359977,0.04770148,0.284208447,0.854743779,2.021299124,-0.954292297,-0.180040643,0.1909
BIIB,0.122822976,0.845610176,0.078121631,0.235734776,0.730282426,1.53529501,-0.73415947,-0.108357444,0.1882
AVGO,0.111979314,0.929440583,0.036361441,0.244160056,0.713496387,1.690020442,-0.754356623,-0.076813251,0.3052
HON,0.085295243,0.890266058,0.043440583,0.212749481,0.763778448,1.687970757,-0.811080694,-0.147864774,0.1804
DE,0.103892937,0.886247483,0.089178867,0.290600479,0.858131588,1.99732852,-0.919155121,-0.116738781,0.2427
PLD,0.064267029,0.882470941,0.02967754,0.256221026,0.760623515,1.775858045,-0.821203828,-0.142796203,0.2272
